id,name,type,breed,age,energy_level,size,good_with_kids,health_condition,other_pets_compatibility,environment_suitability,special_needs,location
1535,Pet1535,Cat,Bengal,1,2,Large,Yes,Vaccinated,Yes,Apartment,Behavioral support,Dallas
1536,Pet1536,Dog,Beagle,1,3,Medium,No,Neutered,Maybe,House,None,Dallas
1537,Pet1537,Cat,Persian,2,3,Large,Yes,Allergies,Yes,Farm,Behavioral support,San Jose
1538,Pet1538,Dog,Poodle,7,3,Medium,Yes,Vaccinated,No,House,Behavioral support,San Diego
1539,Pet1539,Dog,German Shepherd,8,2,Medium,Yes,Neutered,No,Apartment,Behavioral support,Dallas
1540,Pet1540,Cat,Siamese,2,3,Large,No,Neutered,No,House,Mobility issue,San Jose
1541,Pet1541,Dog,Beagle,7,2,Medium,No,Vaccinated,Maybe,Farm,None,Houston
1542,Pet1542,Cat,Bengal,2,2,Medium,Yes,Neutered,Maybe,Farm,None,Dallas
1543,Pet1543,Dog,Poodle,5,3,Large,Yes,Allergies,Maybe,Farm,Mobility issue,Chicago
1544,Pet1544,Cat,Maine Coon,10,2,Medium,No,Neutered,No,House,None,San Diego
1545,Pet1545,Cat,Maine Coon,1,3,Small,No,Vaccinated,No,Apartment,Mobility issue,Phoenix
1546,Pet1546,Dog,Poodle,2,2,Medium,No,Neutered,Maybe,Apartment,Mobility issue,San Jose
1547,Pet1547,Cat,Bengal,6,1,Large,No,Vaccinated,Maybe,Apartment,Behavioral support,Dallas
1548,Pet1548,Cat,Siamese,1,3,Medium,Yes,Vaccinated,Maybe,Farm,Mobility issue,Phoenix
1549,Pet1549,Cat,Sphynx,3,3,Medium,No,Allergies,Maybe,House,Mobility issue,Houston
1550,Pet1550,Dog,Beagle,10,1,Small,Yes,Vaccinated,Maybe,Apartment,Behavioral support,New York
1551,Pet1551,Dog,German Shepherd,7,3,Small,No,Allergies,Yes,Farm,Mobility issue,San Antonio
1552,Pet1552,Cat,Persian,3,1,Small,Yes,None,Maybe,Apartment,Mobility issue,Dallas
1553,Pet1553,Dog,Poodle,3,1,Small,No,Neutered,Yes,Apartment,Behavioral support,Chicago
1554,Pet1554,Cat,Bengal,3,2,Large,No,Allergies,Yes,House,None,Phoenix
1555,Pet1555,Dog,Bulldog,8,3,Small,No,Allergies,No,Farm,None,Philadelphia
1556,Pet1556,Cat,Bengal,5,1,Large,No,None,Yes,House,None,Phoenix
1557,Pet1557,Cat,Maine Coon,4,2,Medium,Yes,Allergies,No,Farm,Behavioral support,Dallas
1558,Pet1558,Cat,Maine Coon,9,1,Large,No,Neutered,No,Farm,None,Houston
1559,Pet1559,Cat,Sphynx,7,3,Small,No,None,Yes,House,Behavioral support,Phoenix
1560,Pet1560,Cat,Persian,3,1,Large,No,None,No,Farm,Behavioral support,New York
1561,Pet1561,Cat,Persian,3,3,Medium,Yes,Allergies,No,Apartment,None,San Antonio
1562,Pet1562,Cat,Sphynx,1,2,Small,No,Allergies,Yes,House,None,New York
1563,Pet1563,Dog,German Shepherd,5,2,Medium,Yes,Vaccinated,Yes,House,Mobility issue,Phoenix
1564,Pet1564,Dog,German Shepherd,4,3,Small,No,None,Yes,Farm,Behavioral support,Chicago
1565,Pet1565,Cat,Maine Coon,6,3,Large,Yes,Neutered,Maybe,Apartment,Mobility issue,San Antonio
1566,Pet1566,Dog,Bulldog,9,2,Small,No,Vaccinated,Maybe,Apartment,None,New York
1567,Pet1567,Cat,Maine Coon,1,3,Small,Yes,Allergies,Yes,House,Mobility issue,Los Angeles
1568,Pet1568,Dog,Poodle,10,2,Large,Yes,Neutered,No,Farm,Behavioral support,Houston
1569,Pet1569,Dog,Labrador,2,1,Small,No,Vaccinated,No,Apartment,Behavioral support,Philadelphia
1570,Pet1570,Dog,Poodle,5,1,Large,No,None,Yes,Farm,Behavioral support,Los Angeles
1571,Pet1571,Dog,German Shepherd,6,2,Small,Yes,Allergies,No,House,Behavioral support,Los Angeles
1572,Pet1572,Cat,Bengal,1,3,Large,Yes,Neutered,No,Apartment,Mobility issue,San Diego
1573,Pet1573,Cat,Maine Coon,6,2,Large,Yes,None,Maybe,Apartment,Behavioral support,Chicago
1574,Pet1574,Cat,Persian,9,1,Medium,No,Neutered,Yes,House,Behavioral support,San Antonio
1575,Pet1575,Dog,Beagle,2,3,Medium,No,Allergies,No,Farm,None,Chicago
1576,Pet1576,Cat,Maine Coon,2,1,Medium,Yes,Allergies,Maybe,Apartment,None,San Diego
1577,Pet1577,Cat,Persian,1,3,Large,Yes,None,Maybe,Apartment,Mobility issue,San Jose
1578,Pet1578,Cat,Persian,1,1,Large,No,Vaccinated,No,Farm,Behavioral support,New York
1579,Pet1579,Cat,Maine Coon,1,3,Medium,Yes,Neutered,Maybe,Farm,None,San Antonio
1580,Pet1580,Cat,Persian,2,1,Small,No,Neutered,Maybe,Farm,None,New York
1581,Pet1581,Cat,Sphynx,6,1,Large,No,Neutered,Yes,Apartment,Behavioral support,San Jose
1582,Pet1582,Dog,Poodle,5,2,Small,Yes,Neutered,Maybe,Apartment,Mobility issue,Houston
1583,Pet1583,Cat,Persian,8,2,Medium,No,None,No,Apartment,None,San Jose
1584,Pet1584,Dog,Labrador,6,2,Large,Yes,Allergies,Maybe,House,Mobility issue,Los Angeles
1585,Pet1585,Dog,Bulldog,4,2,Large,No,Neutered,Yes,Apartment,None,Chicago
1586,Pet1586,Cat,Bengal,2,3,Large,Yes,Allergies,Yes,House,Mobility issue,San Jose
1587,Pet1587,Dog,Poodle,10,1,Medium,No,Vaccinated,No,Apartment,Mobility issue,Dallas
1588,Pet1588,Dog,Poodle,3,3,Large,Yes,Vaccinated,Maybe,Farm,Behavioral support,Houston
1589,Pet1589,Dog,Beagle,2,3,Large,Yes,None,Maybe,Apartment,Behavioral support,San Diego
1590,Pet1590,Dog,Poodle,7,2,Small,Yes,Allergies,Yes,Farm,None,San Diego
1591,Pet1591,Cat,Siamese,8,3,Medium,No,Vaccinated,No,Apartment,Mobility issue,Phoenix
1592,Pet1592,Cat,Maine Coon,1,1,Small,Yes,Neutered,Maybe,House,None,Dallas
1593,Pet1593,Dog,German Shepherd,8,3,Large,Yes,Neutered,Maybe,House,None,Philadelphia
1594,Pet1594,Dog,Beagle,10,2,Large,No,None,No,Apartment,Mobility issue,New York
1595,Pet1595,Cat,Siamese,10,3,Small,No,None,Maybe,Farm,Behavioral support,Philadelphia
1596,Pet1596,Cat,Siamese,9,3,Large,Yes,Neutered,No,Farm,None,Los Angeles
1597,Pet1597,Dog,Labrador,4,3,Large,Yes,None,Yes,Apartment,Mobility issue,Philadelphia
1598,Pet1598,Dog,Beagle,4,2,Medium,Yes,Vaccinated,Maybe,House,Mobility issue,Chicago
1599,Pet1599,Dog,Labrador,4,3,Large,Yes,Allergies,Yes,Apartment,Mobility issue,Dallas
1600,Pet1600,Dog,Labrador,7,3,Small,No,Neutered,No,Apartment,Mobility issue,Dallas
1601,Pet1601,Dog,Poodle,4,3,Medium,Yes,None,Maybe,Farm,None,Phoenix
1602,Pet1602,Cat,Bengal,8,1,Small,Yes,Vaccinated,No,Apartment,Mobility issue,Phoenix
1603,Pet1603,Dog,Labrador,8,1,Medium,Yes,None,Yes,House,None,Philadelphia
1604,Pet1604,Dog,German Shepherd,10,2,Small,Yes,Neutered,No,Apartment,None,Philadelphia
1605,Pet1605,Dog,Labrador,10,1,Large,No,Allergies,No,House,Behavioral support,San Antonio
1606,Pet1606,Cat,Persian,10,2,Medium,No,None,Yes,Farm,Mobility issue,San Diego
1607,Pet1607,Cat,Bengal,2,1,Medium,No,Vaccinated,Maybe,Farm,None,Dallas
1608,Pet1608,Cat,Persian,7,1,Large,No,None,Yes,Apartment,None,San Antonio
1609,Pet1609,Cat,Bengal,9,1,Small,No,Allergies,No,Apartment,Behavioral support,Los Angeles
1610,Pet1610,Dog,German Shepherd,9,2,Large,No,Vaccinated,Yes,Farm,Mobility issue,Houston
1611,Pet1611,Cat,Bengal,2,2,Medium,No,None,Yes,House,Behavioral support,Houston
1612,Pet1612,Dog,Labrador,5,3,Small,Yes,None,No,Apartment,None,Phoenix
1613,Pet1613,Dog,Labrador,6,1,Medium,Yes,Vaccinated,Maybe,House,None,San Antonio
1614,Pet1614,Dog,Poodle,5,2,Small,No,None,No,House,None,San Jose
1615,Pet1615,Cat,Sphynx,9,2,Small,Yes,None,Maybe,Farm,Mobility issue,New York
1616,Pet1616,Dog,Bulldog,9,1,Medium,Yes,None,Maybe,Apartment,None,Los Angeles
1617,Pet1617,Cat,Sphynx,3,3,Small,Yes,Neutered,No,Apartment,Behavioral support,Philadelphia
1618,Pet1618,Dog,Bulldog,2,1,Medium,Yes,None,Maybe,Farm,Mobility issue,San Jose
1619,Pet1619,Dog,Labrador,9,2,Small,Yes,Neutered,No,House,Mobility issue,Dallas
1620,Pet1620,Dog,Labrador,2,3,Small,No,None,Maybe,Apartment,Behavioral support,Philadelphia
1621,Pet1621,Cat,Sphynx,10,3,Large,No,None,No,Farm,None,San Diego
1622,Pet1622,Dog,Bulldog,3,1,Small,No,Vaccinated,Yes,House,None,San Antonio
1623,Pet1623,Cat,Bengal,6,3,Large,Yes,Vaccinated,Yes,House,Mobility issue,San Diego
1624,Pet1624,Dog,Bulldog,7,1,Small,No,Neutered,Yes,Apartment,None,San Diego
1625,Pet1625,Cat,Maine Coon,8,1,Large,No,Vaccinated,No,Farm,Behavioral support,San Jose
1626,Pet1626,Cat,Persian,8,3,Large,Yes,Vaccinated,Maybe,Apartment,None,San Jose
1627,Pet1627,Dog,Poodle,9,1,Large,Yes,Vaccinated,Yes,Farm,Mobility issue,San Diego
1628,Pet1628,Dog,Poodle,8,2,Small,Yes,Vaccinated,No,Apartment,None,Houston
1629,Pet1629,Cat,Siamese,4,1,Medium,No,Allergies,Maybe,Apartment,Mobility issue,Phoenix
1630,Pet1630,Dog,Beagle,8,3,Small,No,Allergies,No,Farm,Behavioral support,Dallas
1631,Pet1631,Dog,Bulldog,7,1,Large,Yes,Neutered,No,House,None,Houston
1632,Pet1632,Dog,Beagle,6,2,Small,No,Allergies,Yes,Farm,None,Chicago
1633,Pet1633,Cat,Sphynx,2,3,Large,No,None,No,Apartment,Mobility issue,Chicago
1634,Pet1634,Dog,Poodle,1,1,Large,No,Neutered,Maybe,Farm,Behavioral support,Philadelphia
1635,Pet1635,Cat,Siamese,4,3,Large,No,Allergies,Yes,Apartment,Behavioral support,San Antonio
1636,Pet1636,Dog,Labrador,10,1,Small,No,None,Maybe,Farm,None,Philadelphia
1637,Pet1637,Dog,German Shepherd,7,3,Large,No,Allergies,Maybe,Farm,Behavioral support,Chicago
1638,Pet1638,Cat,Siamese,9,3,Large,Yes,Vaccinated,No,House,None,Houston
1639,Pet1639,Cat,Siamese,7,2,Large,Yes,Vaccinated,Yes,Apartment,None,San Diego
1640,Pet1640,Dog,Poodle,8,1,Medium,Yes,Vaccinated,No,Farm,Mobility issue,Phoenix
1641,Pet1641,Dog,Beagle,5,1,Large,Yes,Neutered,Maybe,House,Mobility issue,San Jose
1642,Pet1642,Dog,Labrador,7,3,Small,Yes,Neutered,No,House,Behavioral support,New York
1643,Pet1643,Dog,German Shepherd,2,3,Medium,No,Allergies,Yes,House,None,Phoenix
1644,Pet1644,Dog,Labrador,3,3,Medium,Yes,Allergies,Yes,Farm,None,Phoenix
1645,Pet1645,Cat,Bengal,6,3,Small,Yes,None,Maybe,Apartment,Behavioral support,San Antonio
1646,Pet1646,Cat,Siamese,10,3,Medium,Yes,Allergies,No,House,Mobility issue,San Jose
1647,Pet1647,Dog,Beagle,8,1,Medium,No,Neutered,No,House,Mobility issue,San Jose
1648,Pet1648,Dog,German Shepherd,3,2,Small,Yes,Vaccinated,Maybe,Apartment,Behavioral support,San Antonio
1649,Pet1649,Cat,Sphynx,5,1,Large,Yes,Vaccinated,Maybe,Apartment,Mobility issue,San Diego
1650,Pet1650,Cat,Bengal,7,3,Large,No,Neutered,Yes,Farm,Behavioral support,Houston
1651,Pet1651,Dog,German Shepherd,7,1,Large,No,Vaccinated,Yes,Farm,None,Houston
1652,Pet1652,Dog,German Shepherd,4,2,Small,No,Neutered,No,Apartment,Behavioral support,San Antonio
1653,Pet1653,Dog,German Shepherd,4,2,Medium,Yes,Neutered,No,Farm,None,Dallas
1654,Pet1654,Dog,Beagle,5,1,Medium,No,Vaccinated,Maybe,Farm,Behavioral support,San Antonio
1655,Pet1655,Cat,Siamese,9,2,Medium,No,Neutered,No,Apartment,None,Dallas
1656,Pet1656,Dog,Poodle,10,1,Large,No,Allergies,Yes,House,Behavioral support,Houston
1657,Pet1657,Cat,Siamese,10,2,Small,No,Allergies,No,Farm,Mobility issue,Houston
1658,Pet1658,Cat,Sphynx,7,2,Medium,Yes,Allergies,Maybe,Apartment,Behavioral support,San Antonio
1659,Pet1659,Cat,Siamese,5,2,Small,Yes,Vaccinated,Yes,Farm,None,Philadelphia
1660,Pet1660,Cat,Persian,9,3,Medium,Yes,Allergies,No,Farm,None,San Jose
1661,Pet1661,Cat,Bengal,9,2,Medium,No,Allergies,No,Apartment,Behavioral support,Los Angeles
1662,Pet1662,Cat,Siamese,7,3,Small,Yes,Allergies,Maybe,House,Mobility issue,Los Angeles
1663,Pet1663,Dog,Beagle,9,2,Large,No,Vaccinated,No,House,Behavioral support,Philadelphia
1664,Pet1664,Cat,Bengal,6,1,Large,No,Vaccinated,Maybe,Farm,None,San Antonio
1665,Pet1665,Dog,Labrador,7,2,Large,No,Allergies,Maybe,Farm,None,Chicago
1666,Pet1666,Dog,Bulldog,4,2,Large,No,Allergies,Yes,House,Behavioral support,New York
1667,Pet1667,Cat,Bengal,7,3,Large,Yes,None,No,House,Mobility issue,Chicago
1668,Pet1668,Cat,Persian,9,2,Small,No,Neutered,No,House,Mobility issue,Phoenix
1669,Pet1669,Dog,Beagle,6,1,Large,Yes,Allergies,Maybe,House,Behavioral support,Chicago
1670,Pet1670,Cat,Maine Coon,9,1,Large,No,Neutered,Maybe,Farm,Behavioral support,San Jose
1671,Pet1671,Dog,Poodle,9,1,Large,No,Neutered,No,Farm,Behavioral support,Houston
1672,Pet1672,Dog,Labrador,1,1,Small,No,None,Maybe,House,Mobility issue,San Jose
1673,Pet1673,Dog,Labrador,5,3,Large,No,Neutered,Maybe,House,Behavioral support,Philadelphia
1674,Pet1674,Cat,Bengal,1,1,Medium,No,None,Yes,Apartment,Mobility issue,San Antonio
1675,Pet1675,Dog,Bulldog,5,3,Medium,Yes,Allergies,No,Farm,None,San Antonio
1676,Pet1676,Dog,Beagle,2,3,Small,Yes,Neutered,Yes,House,Behavioral support,San Antonio
1677,Pet1677,Dog,Poodle,1,2,Small,Yes,None,No,House,Behavioral support,San Diego
1678,Pet1678,Cat,Bengal,3,3,Medium,Yes,None,Yes,House,Behavioral support,Dallas
1679,Pet1679,Cat,Siamese,9,3,Large,No,None,No,House,Behavioral support,San Jose
1680,Pet1680,Cat,Maine Coon,4,2,Large,No,Neutered,Maybe,House,Mobility issue,San Diego
1681,Pet1681,Cat,Maine Coon,1,1,Medium,No,None,No,Farm,Behavioral support,Phoenix
1682,Pet1682,Dog,Bulldog,3,1,Medium,No,None,No,Apartment,Behavioral support,San Jose
1683,Pet1683,Cat,Maine Coon,4,2,Small,Yes,Allergies,No,Apartment,None,Houston
1684,Pet1684,Dog,German Shepherd,10,1,Small,Yes,Allergies,Maybe,Apartment,Behavioral support,Philadelphia
1685,Pet1685,Cat,Maine Coon,9,1,Small,No,Allergies,No,Apartment,None,Philadelphia
1686,Pet1686,Cat,Maine Coon,4,2,Small,Yes,Neutered,No,House,Mobility issue,New York
1687,Pet1687,Dog,Bulldog,8,1,Large,Yes,Vaccinated,Yes,Farm,Mobility issue,Phoenix
1688,Pet1688,Cat,Bengal,2,1,Large,No,Allergies,Yes,Apartment,None,Los Angeles
1689,Pet1689,Cat,Sphynx,4,3,Medium,No,None,No,Apartment,Behavioral support,Phoenix
1690,Pet1690,Cat,Bengal,7,1,Large,No,None,Maybe,Apartment,Behavioral support,San Diego
1691,Pet1691,Cat,Bengal,7,3,Small,Yes,Allergies,Maybe,Apartment,Behavioral support,San Antonio
1692,Pet1692,Cat,Sphynx,10,2,Small,Yes,Allergies,Maybe,Apartment,None,Houston
1693,Pet1693,Dog,Labrador,3,3,Large,Yes,None,No,House,Mobility issue,Philadelphia
1694,Pet1694,Cat,Bengal,4,3,Large,No,Neutered,Yes,Apartment,Behavioral support,New York
1695,Pet1695,Cat,Siamese,4,1,Large,No,None,Yes,House,Behavioral support,Phoenix
1696,Pet1696,Cat,Persian,4,3,Large,Yes,Allergies,No,Farm,None,Dallas
1697,Pet1697,Cat,Persian,5,2,Medium,No,Neutered,Yes,Apartment,Behavioral support,San Jose
1698,Pet1698,Cat,Maine Coon,2,1,Large,Yes,Neutered,Maybe,House,None,Houston
1699,Pet1699,Cat,Siamese,9,3,Large,No,None,No,House,Behavioral support,Phoenix
1700,Pet1700,Dog,Beagle,2,1,Medium,Yes,Neutered,Yes,Apartment,Behavioral support,Dallas
1701,Pet1701,Cat,Persian,5,2,Medium,Yes,Allergies,Yes,Farm,None,Dallas
1702,Pet1702,Cat,Persian,2,2,Large,No,Allergies,Maybe,Farm,Mobility issue,San Jose
1703,Pet1703,Cat,Siamese,3,3,Medium,No,Allergies,Maybe,Apartment,Behavioral support,San Diego
1704,Pet1704,Cat,Sphynx,3,1,Large,Yes,Vaccinated,Maybe,Apartment,Behavioral support,Dallas
1705,Pet1705,Dog,German Shepherd,1,3,Small,Yes,Vaccinated,No,House,Mobility issue,Phoenix
1706,Pet1706,Dog,German Shepherd,3,2,Small,Yes,Allergies,Maybe,House,None,Houston
1707,Pet1707,Dog,German Shepherd,2,1,Small,No,Neutered,No,Apartment,Behavioral support,Los Angeles
1708,Pet1708,Dog,Bulldog,7,1,Small,Yes,Vaccinated,No,Farm,Behavioral support,Philadelphia
1709,Pet1709,Dog,Labrador,2,2,Small,Yes,Neutered,Yes,House,Behavioral support,New York
1710,Pet1710,Cat,Bengal,9,1,Large,Yes,Vaccinated,Maybe,Farm,Behavioral support,Philadelphia
1711,Pet1711,Cat,Maine Coon,6,2,Medium,No,Neutered,Maybe,House,Behavioral support,Phoenix
1712,Pet1712,Dog,German Shepherd,3,3,Large,Yes,Neutered,No,Farm,None,Phoenix
1713,Pet1713,Cat,Persian,1,2,Medium,Yes,Vaccinated,Yes,House,Mobility issue,San Antonio
1714,Pet1714,Cat,Sphynx,2,1,Small,Yes,Neutered,Maybe,House,Mobility issue,Los Angeles
1715,Pet1715,Cat,Sphynx,3,2,Large,Yes,Neutered,Maybe,Apartment,None,San Diego
1716,Pet1716,Cat,Bengal,3,3,Medium,No,Neutered,Yes,Farm,Mobility issue,Phoenix
1717,Pet1717,Cat,Sphynx,2,3,Small,Yes,Allergies,Maybe,Apartment,Mobility issue,Philadelphia
1718,Pet1718,Cat,Persian,3,3,Large,No,Vaccinated,Maybe,Apartment,Mobility issue,Chicago
1719,Pet1719,Dog,Labrador,8,2,Large,No,None,Maybe,Apartment,Behavioral support,Houston
1720,Pet1720,Cat,Siamese,3,3,Medium,Yes,Allergies,No,Apartment,None,New York
1721,Pet1721,Cat,Sphynx,1,3,Small,No,Vaccinated,No,Apartment,Behavioral support,Dallas
1722,Pet1722,Dog,Beagle,3,2,Small,No,Allergies,No,House,Behavioral support,San Diego
1723,Pet1723,Cat,Sphynx,6,1,Large,Yes,Allergies,Yes,Farm,None,San Jose
1724,Pet1724,Cat,Bengal,7,3,Medium,Yes,Vaccinated,Yes,House,Behavioral support,Philadelphia
1725,Pet1725,Cat,Persian,4,3,Large,No,None,Maybe,House,Behavioral support,San Antonio
1726,Pet1726,Dog,Labrador,4,2,Large,Yes,None,Maybe,Apartment,Mobility issue,San Jose
1727,Pet1727,Dog,Labrador,2,3,Small,No,Vaccinated,No,House,None,Phoenix
1728,Pet1728,Cat,Siamese,10,3,Small,Yes,Vaccinated,Yes,House,Mobility issue,Phoenix
1729,Pet1729,Cat,Persian,9,1,Large,No,Allergies,Yes,Farm,None,Los Angeles
1730,Pet1730,Cat,Bengal,10,3,Small,No,Neutered,No,House,Mobility issue,Dallas
1731,Pet1731,Dog,German Shepherd,6,1,Large,No,None,Yes,Farm,Mobility issue,San Jose
1732,Pet1732,Cat,Persian,3,3,Large,No,None,Yes,Farm,Behavioral support,Dallas
1733,Pet1733,Cat,Sphynx,7,2,Medium,Yes,Neutered,No,Farm,None,Dallas
1734,Pet1734,Dog,Beagle,9,1,Large,Yes,Vaccinated,Maybe,Apartment,Mobility issue,Houston
1735,Pet1735,Cat,Persian,1,2,Large,No,None,Maybe,Farm,Behavioral support,San Antonio
1736,Pet1736,Cat,Bengal,8,3,Small,No,Allergies,No,Farm,Mobility issue,San Diego
1737,Pet1737,Cat,Maine Coon,10,2,Large,No,Allergies,Yes,Apartment,Mobility issue,Philadelphia
1738,Pet1738,Dog,Labrador,8,2,Medium,No,Neutered,Maybe,Farm,None,San Diego
1739,Pet1739,Cat,Sphynx,8,2,Small,Yes,Allergies,Maybe,House,None,Chicago
1740,Pet1740,Cat,Bengal,6,1,Large,Yes,None,No,House,Behavioral support,Houston
1741,Pet1741,Cat,Sphynx,7,2,Medium,Yes,Allergies,Maybe,House,Behavioral support,Los Angeles
1742,Pet1742,Cat,Bengal,9,3,Medium,Yes,Vaccinated,Yes,Farm,Mobility issue,Philadelphia
1743,Pet1743,Dog,Labrador,2,2,Small,Yes,Vaccinated,Maybe,House,None,San Diego
1744,Pet1744,Dog,Beagle,5,1,Small,No,Neutered,No,Farm,None,Chicago
1745,Pet1745,Cat,Bengal,7,3,Small,No,None,Maybe,Farm,Mobility issue,Los Angeles
1746,Pet1746,Dog,Bulldog,1,1,Small,No,Vaccinated,Yes,House,Mobility issue,San Diego
1747,Pet1747,Dog,Bulldog,9,2,Medium,No,Vaccinated,No,House,Behavioral support,Phoenix
1748,Pet1748,Cat,Siamese,6,1,Large,Yes,None,Yes,Farm,Behavioral support,San Diego
1749,Pet1749,Cat,Bengal,3,2,Small,Yes,Allergies,Maybe,Apartment,Behavioral support,Phoenix
1750,Pet1750,Dog,Labrador,10,3,Small,No,None,No,Farm,None,Chicago
1751,Pet1751,Cat,Siamese,3,1,Medium,No,Neutered,Maybe,Apartment,Mobility issue,San Diego
1752,Pet1752,Cat,Maine Coon,6,3,Small,Yes,Neutered,No,Apartment,Behavioral support,Phoenix
1753,Pet1753,Dog,German Shepherd,6,2,Medium,No,Allergies,Maybe,House,Mobility issue,San Diego
1754,Pet1754,Dog,Poodle,6,1,Large,Yes,Vaccinated,No,House,Behavioral support,Philadelphia
1755,Pet1755,Dog,Beagle,10,3,Large,No,Allergies,Yes,House,None,Chicago
1756,Pet1756,Cat,Persian,2,2,Medium,Yes,Neutered,Maybe,Farm,Behavioral support,San Jose
1757,Pet1757,Cat,Maine Coon,8,2,Medium,No,None,No,Farm,Mobility issue,San Diego
1758,Pet1758,Dog,Bulldog,6,2,Large,No,Neutered,Maybe,House,Mobility issue,San Antonio
1759,Pet1759,Cat,Bengal,2,2,Medium,Yes,Neutered,Maybe,Apartment,None,Phoenix
1760,Pet1760,Dog,Poodle,7,3,Small,No,Vaccinated,No,Apartment,Behavioral support,San Jose
1761,Pet1761,Cat,Bengal,2,1,Large,Yes,Vaccinated,Yes,House,None,Phoenix
1762,Pet1762,Cat,Bengal,4,2,Large,No,Neutered,Maybe,Apartment,None,Phoenix
1763,Pet1763,Cat,Persian,3,2,Medium,No,Allergies,No,House,Mobility issue,Houston
1764,Pet1764,Cat,Maine Coon,8,2,Small,No,Allergies,Maybe,House,Behavioral support,Houston
1765,Pet1765,Cat,Persian,4,1,Large,No,Allergies,No,Farm,Mobility issue,San Jose
1766,Pet1766,Cat,Bengal,10,2,Medium,No,Vaccinated,Maybe,House,Behavioral support,New York
1767,Pet1767,Dog,German Shepherd,5,3,Large,Yes,Neutered,No,Apartment,Mobility issue,Houston
1768,Pet1768,Cat,Bengal,1,2,Small,No,Vaccinated,No,House,None,San Diego
1769,Pet1769,Dog,Bulldog,8,3,Large,No,Neutered,No,Apartment,None,Philadelphia
1770,Pet1770,Cat,Sphynx,6,1,Large,Yes,None,No,House,None,San Antonio
1771,Pet1771,Dog,Labrador,8,1,Small,No,Vaccinated,Yes,Apartment,Behavioral support,Philadelphia
1772,Pet1772,Dog,Labrador,2,2,Large,Yes,None,No,Farm,None,Phoenix
1773,Pet1773,Dog,Poodle,9,2,Large,Yes,Allergies,No,Farm,Mobility issue,San Antonio
1774,Pet1774,Dog,Labrador,6,3,Small,No,None,No,Farm,Mobility issue,Philadelphia
1775,Pet1775,Dog,Poodle,8,1,Medium,No,None,Yes,House,Mobility issue,San Diego
1776,Pet1776,Dog,Beagle,9,3,Small,No,Vaccinated,Yes,Apartment,Behavioral support,Los Angeles
1777,Pet1777,Dog,German Shepherd,1,1,Medium,Yes,Vaccinated,Maybe,House,Behavioral support,Chicago
1778,Pet1778,Cat,Maine Coon,10,1,Medium,No,Neutered,No,House,None,San Jose
1779,Pet1779,Cat,Bengal,2,3,Medium,Yes,Neutered,Maybe,Farm,Mobility issue,New York
1780,Pet1780,Cat,Persian,6,3,Medium,No,Neutered,No,Apartment,None,Chicago
1781,Pet1781,Cat,Persian,7,1,Large,No,Allergies,Maybe,Apartment,Mobility issue,Dallas
1782,Pet1782,Cat,Bengal,10,1,Small,Yes,Neutered,Yes,Apartment,Mobility issue,Phoenix
1783,Pet1783,Dog,Bulldog,3,2,Small,Yes,None,Maybe,Farm,None,Chicago
1784,Pet1784,Cat,Sphynx,5,2,Medium,No,Allergies,Maybe,Farm,Behavioral support,San Antonio
1785,Pet1785,Cat,Persian,3,2,Large,No,Allergies,No,Apartment,Mobility issue,Dallas
1786,Pet1786,Dog,German Shepherd,6,1,Small,No,None,Yes,Farm,Mobility issue,Philadelphia
1787,Pet1787,Dog,Labrador,4,3,Large,Yes,Neutered,No,Farm,Behavioral support,Dallas
1788,Pet1788,Cat,Siamese,9,2,Medium,Yes,Allergies,No,Farm,Mobility issue,Chicago
1789,Pet1789,Dog,Labrador,5,3,Large,Yes,Neutered,Yes,House,Behavioral support,New York
1790,Pet1790,Dog,Labrador,3,2,Small,Yes,None,Yes,Apartment,Mobility issue,Dallas
1791,Pet1791,Cat,Bengal,5,2,Medium,Yes,Vaccinated,No,Farm,None,San Diego
1792,Pet1792,Cat,Siamese,9,1,Medium,No,Neutered,Maybe,Farm,Behavioral support,New York
1793,Pet1793,Cat,Bengal,8,3,Small,No,Neutered,Yes,House,Mobility issue,New York
1794,Pet1794,Cat,Sphynx,9,3,Medium,Yes,Allergies,Yes,Farm,Behavioral support,San Jose
1795,Pet1795,Dog,Labrador,4,3,Small,No,Allergies,Maybe,House,Behavioral support,Phoenix
1796,Pet1796,Cat,Bengal,5,1,Large,Yes,None,Yes,House,None,Houston
1797,Pet1797,Dog,Poodle,5,3,Small,No,Vaccinated,Yes,House,Mobility issue,Philadelphia
1798,Pet1798,Dog,German Shepherd,8,3,Small,Yes,Vaccinated,Maybe,House,None,San Jose
1799,Pet1799,Dog,Beagle,7,3,Small,No,None,Yes,House,Behavioral support,Chicago
1800,Pet1800,Dog,Bulldog,4,1,Large,Yes,None,Maybe,Apartment,Behavioral support,Chicago
1801,Pet1801,Cat,Siamese,3,1,Small,No,Vaccinated,Maybe,Farm,None,San Diego
1802,Pet1802,Cat,Maine Coon,9,1,Small,Yes,Neutered,No,Farm,Mobility issue,Dallas
1803,Pet1803,Cat,Persian,10,3,Small,Yes,None,No,House,Mobility issue,Philadelphia
1804,Pet1804,Dog,Poodle,5,2,Medium,No,Neutered,Maybe,Farm,Behavioral support,Los Angeles
